image_path,color
extra_color_dataset/black_dress/1.jpg,Black
extra_color_dataset/black_dress/10.jpg,Black
extra_color_dataset/black_dress/100.jpg,Black
extra_color_dataset/black_dress/101.jpg,Black
extra_color_dataset/black_dress/102.jpg,Black
extra_color_dataset/black_dress/103.jpg,Black
extra_color_dataset/black_dress/104.jpg,Black
extra_color_dataset/black_dress/105.jpg,Black
extra_color_dataset/black_dress/106.jpg,Black
extra_color_dataset/black_dress/107.jpg,Black
extra_color_dataset/black_dress/108.jpg,Black
extra_color_dataset/black_dress/109.jpg,Black
extra_color_dataset/black_dress/11.jpg,Black
extra_color_dataset/black_dress/110.jpg,Black
extra_color_dataset/black_dress/111.jpg,Black
extra_color_dataset/black_dress/112.jpg,Black
extra_color_dataset/black_dress/113.jpg,Black
extra_color_dataset/black_dress/114.jpg,Black
extra_color_dataset/black_dress/115.jpg,Black
extra_color_dataset/black_dress/116.jpg,Black
extra_color_dataset/black_dress/117.jpg,Black
extra_color_dataset/black_dress/118.jpg,Black
extra_color_dataset/black_dress/119.jpg,Black
extra_color_dataset/black_dress/12.jpg,Black
extra_color_dataset/black_dress/120.jpg,Black
extra_color_dataset/black_dress/121.jpg,Black
extra_color_dataset/black_dress/122.jpg,Black
extra_color_dataset/black_dress/123.jpg,Black
extra_color_dataset/black_dress/124.jpg,Black
extra_color_dataset/black_dress/125.jpg,Black
extra_color_dataset/black_dress/126.jpg,Black
extra_color_dataset/black_dress/127.jpg,Black
extra_color_dataset/black_dress/128.jpg,Black
extra_color_dataset/black_dress/129.jpg,Black
extra_color_dataset/black_dress/13.jpg,Black
extra_color_dataset/black_dress/130.jpg,Black
extra_color_dataset/black_dress/131.jpg,Black
extra_color_dataset/black_dress/132.jpg,Black
extra_color_dataset/black_dress/133.jpg,Black
extra_color_dataset/black_dress/134.jpg,Black
extra_color_dataset/black_dress/135.jpg,Black
extra_color_dataset/black_dress/136.jpg,Black
extra_color_dataset/black_dress/137.jpg,Black
extra_color_dataset/black_dress/138.jpg,Black
extra_color_dataset/black_dress/139.jpg,Black
extra_color_dataset/black_dress/14.jpg,Black
extra_color_dataset/black_dress/140.jpg,Black
extra_color_dataset/black_dress/141.jpg,Black
extra_color_dataset/black_dress/142.jpg,Black
extra_color_dataset/black_dress/143.jpg,Black
extra_color_dataset/black_dress/144.jpg,Black
extra_color_dataset/black_dress/145.jpg,Black
extra_color_dataset/black_dress/146.jpg,Black
extra_color_dataset/black_dress/147.jpg,Black
extra_color_dataset/black_dress/148.jpg,Black
